"Year","Month","Day","Venue","Place","Country","LatLng","Date"
1961,"Apr",9,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-09
1961,"Apr",10,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-10
1961,"Apr",11,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-11
1961,"Apr",12,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-12
1961,"Apr",13,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-13
1961,"Apr",14,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-14
1961,"Apr",15,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-15
1961,"Apr",16,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-16
1961,"Apr",17,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-17
1961,"Apr",18,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-18
1961,"Apr",19,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-19
1961,"Apr",20,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-20
1961,"Apr",21,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-21
1961,"Apr",22,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-22
1961,"Apr",23,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-23
1961,"Apr",24,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-24
1961,"Apr",25,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-25
1961,"Apr",26,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-26
1961,"Apr",27,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-27
1961,"Apr",28,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-28
1961,"Apr",29,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-29
1961,"Apr",30,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-04-30
1961,"May",1,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-01
1961,"May",2,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-02
1961,"May",3,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-03
1961,"May",4,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-04
1961,"May",5,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-05
1961,"May",6,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-06
1961,"May",7,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-07
1961,"May",8,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-08
1961,"May",9,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-09
1961,"May",10,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-10
1961,"May",11,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-11
1961,"May",12,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-12
1961,"May",13,"Top Ten Club","Hamburg","Germany","53.5497398:9.9595032",1961-05-13
